"Jahr";"Portfolio_Typ";"Aktie";"Gewicht"
"2010";"Target Vol 21%";"LORILLARD.DEAD";0,2865
"2010";"Target Vol 21%";"BOOKING.HOLDINGS";0,107
"2010";"Target Vol 21%";"APPLE";0,0886
"2010";"Target Vol 21%";"GENERAL.MILLS";0,0847
"2010";"Target Vol 21%";"COVISTA";0,0631
"2010";"Target Vol 21%";"INTUITIVE.SURGICAL";0,0578
"2010";"Target Vol 21%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0577
"2010";"Target Vol 21%";"MASTERCARD";0,0492
"2010";"Target Vol 21%";"STERICYCLE.DEAD";0,045
"2010";"Target Vol 21%";"MEDCO.HEALTH.SLTN..DEAD";0,0445
"2010";"Target Vol 21%";"MCDONALDS";0,0417
"2010";"Target Vol 21%";"CELGENE.DEAD";0,032
"2010";"Target Vol 21%";"HORMEL.FOODS";0,0302
"2010";"Target Vol 21%";"FIRST.SOLAR";0,0083
"2010";"Target Vol 21%";"SOUTHWESTERN.ENERGY.DEAD";0,0026
"2010";"Target Vol 21%";"BAXTER.INTL.";0,0013
"2010";"Target Vol 24%";"LORILLARD.DEAD";0,325
"2010";"Target Vol 24%";"BOOKING.HOLDINGS";0,1335
"2010";"Target Vol 24%";"APPLE";0,101
"2010";"Target Vol 24%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0789
"2010";"Target Vol 24%";"INTUITIVE.SURGICAL";0,0762
"2010";"Target Vol 24%";"MASTERCARD";0,075
"2010";"Target Vol 24%";"COVISTA";0,0748
"2010";"Target Vol 24%";"CELGENE.DEAD";0,0424
"2010";"Target Vol 24%";"MEDCO.HEALTH.SLTN..DEAD";0,0402
"2010";"Target Vol 24%";"STERICYCLE.DEAD";0,0219
"2010";"Target Vol 24%";"FIRST.SOLAR";0,021
"2010";"Target Vol 24%";"SOUTHWESTERN.ENERGY.DEAD";0,01
"2015";"Min Variance";"SOUTHERN";0,2351
"2015";"Min Variance";"WALMART";0,1157
"2015";"Min Variance";"MCDONALDS";0,096
"2015";"Min Variance";"PEPSICO";0,0757
"2015";"Min Variance";"AUTOZONE";0,0594
"2015";"Min Variance";"CLOROX";0,0507
"2015";"Min Variance";"PROCTER...GAMBLE";0,0425
"2015";"Min Variance";"KELLANOVA.DEAD";0,0411
"2015";"Min Variance";"HERSHEY";0,0371
"2015";"Min Variance";"JOHNSON...JOHNSON";0,0321
"2015";"Min Variance";"ADT.DEAD";0,0305
"2015";"Min Variance";"NEWMONT";0,019
"2015";"Min Variance";"GENERAL.MILLS";0,0178
"2015";"Min Variance";"CONAGRA.BRANDS";0,015
"2015";"Min Variance";"KRAFT.FOODS.GROUP.DEAD";0,015
"2015";"Min Variance";"META.PLATFORMS.A";0,0148
"2015";"Min Variance";"XYLEM";0,0137
"2015";"Min Variance";"DOLLAR.GENERAL";0,013
"2015";"Min Variance";"CAPRI.HOLDINGS";0,0127
"2015";"Min Variance";"DUKE.ENERGY";0,0126
"2015";"Min Variance";"KIMBERLY.CLARK";0,0115
"2015";"Min Variance";"FAMILY.DOLLAR.STORES.DEAD";0,0103
"2015";"Min Variance";"APTIV";0,01
"2015";"Min Variance";"NIELSEN.DEAD";0,0073
"2015";"Min Variance";"LORILLARD.DEAD";0,0061
"2015";"Min Variance";"DOLLAR.TREE";0,0056
"2015";"Target Vol 15%";"APTIV";0,1881
"2015";"Target Vol 15%";"ALLERGAN.DEAD...12";0,101
"2015";"Target Vol 15%";"ALTRIA.GROUP";0,0946
"2015";"Target Vol 15%";"REGENERON.PHARMS.";0,0713
"2015";"Target Vol 15%";"AUTOZONE";0,066
"2015";"Target Vol 15%";"HERSHEY";0,0652
"2015";"Target Vol 15%";"ABBVIE";0,0628
"2015";"Target Vol 15%";"CHIPOTLE.MEXN.GRILL";0,061
"2015";"Target Vol 15%";"CAPRI.HOLDINGS";0,046
"2015";"Target Vol 15%";"CONSTELLATION.BRANDS..A.";0,0454
"2015";"Target Vol 15%";"O.REILLY.AUTOMOTIVE";0,0379
"2015";"Target Vol 15%";"MONSTER.BEVERAGE";0,0286
"2015";"Target Vol 15%";"DOLLAR.TREE";0,0237
"2015";"Target Vol 15%";"NETFLIX";0,0228
"2015";"Target Vol 15%";"ROSS.STORES";0,0216
"2015";"Target Vol 15%";"BATH.AND.BODY.WORKS";0,0204
"2015";"Target Vol 15%";"META.PLATFORMS.A";0,0149
"2015";"Target Vol 15%";"KEURIG.GREEN.MOUNTAIN.DEAD";0,0144
"2015";"Target Vol 15%";"PHILLIPS.66";0,0068
"2015";"Target Vol 15%";"FAMILY.DOLLAR.STORES.DEAD";0,0042
"2015";"Target Vol 15%";"UNDER.ARMOUR.A";0,0033
"2015";"Target Vol 18%";"APTIV";0,2327
"2015";"Target Vol 18%";"ALLERGAN.DEAD...12";0,1177
"2015";"Target Vol 18%";"REGENERON.PHARMS.";0,1129
"2015";"Target Vol 18%";"CHIPOTLE.MEXN.GRILL";0,0843
"2015";"Target Vol 18%";"ABBVIE";0,0832
"2015";"Target Vol 18%";"CONSTELLATION.BRANDS..A.";0,0654
"2015";"Target Vol 18%";"CAPRI.HOLDINGS";0,058
"2015";"Target Vol 18%";"BATH.AND.BODY.WORKS";0,0559
"2015";"Target Vol 18%";"O.REILLY.AUTOMOTIVE";0,054
"2015";"Target Vol 18%";"MONSTER.BEVERAGE";0,0398
"2015";"Target Vol 18%";"NETFLIX";0,0326
"2015";"Target Vol 18%";"UNDER.ARMOUR.A";0,0258
"2015";"Target Vol 18%";"KEURIG.GREEN.MOUNTAIN.DEAD";0,019
"2015";"Target Vol 18%";"ROSS.STORES";0,009
"2015";"Target Vol 18%";"META.PLATFORMS.A";0,0081
"2015";"Target Vol 18%";"PHILLIPS.66";0,0017
"2015";"Target Vol 21%";"APTIV";0,2525
"2015";"Target Vol 21%";"REGENERON.PHARMS.";0,2021
"2015";"Target Vol 21%";"CHIPOTLE.MEXN.GRILL";0,0927
"2015";"Target Vol 21%";"UNDER.ARMOUR.A";0,0795
"2015";"Target Vol 21%";"ALLERGAN.DEAD...12";0,0793
"2015";"Target Vol 21%";"CONSTELLATION.BRANDS..A.";0,067
"2015";"Target Vol 21%";"CAPRI.HOLDINGS";0,0636
"2015";"Target Vol 21%";"NETFLIX";0,0528
"2015";"Target Vol 21%";"BATH.AND.BODY.WORKS";0,0335
"2015";"Target Vol 21%";"KEURIG.GREEN.MOUNTAIN.DEAD";0,0302
"2015";"Target Vol 21%";"MONSTER.BEVERAGE";0,0235
"2015";"Target Vol 21%";"ABBVIE";0,0215
"2015";"Target Vol 21%";"UNITED.RENTALS";0,0017
"2015";"Target Vol 24%";"REGENERON.PHARMS.";0,2764
"2015";"Target Vol 24%";"APTIV";0,2362
"2015";"Target Vol 24%";"UNDER.ARMOUR.A";0,1141
"2015";"Target Vol 24%";"CHIPOTLE.MEXN.GRILL";0,0897
"2015";"Target Vol 24%";"NETFLIX";0,0674
"2015";"Target Vol 24%";"CAPRI.HOLDINGS";0,0631
"2015";"Target Vol 24%";"CONSTELLATION.BRANDS..A.";0,0518
"2015";"Target Vol 24%";"KEURIG.GREEN.MOUNTAIN.DEAD";0,0388
"2015";"Target Vol 24%";"UNITED.RENTALS";0,0377
"2015";"Target Vol 24%";"ALLERGAN.DEAD...12";0,0224
"2015";"Target Vol 24%";"MONSTER.BEVERAGE";0,0023
"2020";"Min Variance";"CBOE.GLOBAL.MARKETS.BTS.";0,0966
"2020";"Min Variance";"SOUTHERN";0,0938
"2020";"Min Variance";"EVERGY";0,0849
"2020";"Min Variance";"LAMB.WESTON.HOLDINGS";0,0678
"2020";"Min Variance";"EVEREST.GROUP";0,0541
"2020";"Min Variance";"COCA.COLA";0,0533
"2020";"Min Variance";"MCDONALDS";0,0404
"2020";"Min Variance";"PUBLIC.STORAGE";0,037
"2020";"Min Variance";"NEWMONT";0,0355
"2020";"Min Variance";"AT.T";0,0347
"2020";"Min Variance";"AUTOZONE";0,028
"2020";"Min Variance";"SYSCO";0,0275
"2020";"Min Variance";"REPUBLIC.SVS..A.";0,0271
"2020";"Min Variance";"HUMANA";0,023
"2020";"Min Variance";"CHIPOTLE.MEXN.GRILL";0,0199
"2020";"Min Variance";"DOMINION.ENERGY";0,0195
"2020";"Min Variance";"LOCKHEED.MARTIN";0,0174
"2020";"Min Variance";"FORTIVE";0,0164
"2020";"Min Variance";"TECHNIPFMC";0,016
"2020";"Min Variance";"CH.ROBINSON.WWD.";0,0156
"2020";"Min Variance";"IHS.MARKIT.DEAD";0,0139
"2020";"Min Variance";"OMNICOM.GROUP";0,0138
"2020";"Min Variance";"RAYTHEON..B..DEAD";0,0132
"2020";"Min Variance";"KROGER";0,0124
"2020";"Min Variance";"COOPER.COS.";0,0123
"2020";"Min Variance";"NVR";0,0112
"2020";"Min Variance";"DUKE.ENERGY";0,0098
"2020";"Min Variance";"CONSOLIDATED.EDISON";0,0095
"2020";"Min Variance";"GAP";0,0089
"2020";"Min Variance";"WALT.DISNEY";0,0084
"2020";"Min Variance";"JOHNSON...JOHNSON";0,0081
"2020";"Min Variance";"WW.GRAINGER";0,008
"2020";"Min Variance";"UNIVERSAL.HEALTH.SVS..B.";0,0074
"2020";"Min Variance";"HASBRO";0,0064
"2020";"Min Variance";"PEOPLES.UNITED.FINANCIAL.DEAD";0,0059
"2020";"Min Variance";"PFIZER";0,0058
"2020";"Min Variance";"CENCORA";0,0058
"2020";"Min Variance";"CHURCH...DWIGHT.CO.";0,0047
"2020";"Min Variance";"MCKESSON";0,0038
"2020";"Min Variance";"CAPRI.HOLDINGS";0,0035
"2020";"Min Variance";"VERIZON.COMMUNICATIONS";0,0029
"2020";"Min Variance";"FIRST.REPUBLIC.BANK";0,0029
"2020";"Min Variance";"CIGNA";0,0026
"2020";"Min Variance";"SLB";0,0015
"2020";"Min Variance";"GENERAL.MOTORS";0,0015
"2020";"Min Variance";"BRISTOL.MYERS.SQUIBB";0,0014
"2020";"Min Variance";"J.M.SMUCKER";0,0012
"2020";"Min Variance";"L3HARRIS.TECHNOLOGIES";0,0012
"2020";"Min Variance";"TWITTER.DEAD";9e-04
"2020";"Min Variance";"BIOGEN";8e-04
"2020";"Min Variance";"NOV";8e-04
"2020";"Min Variance";"F5";4e-04
"2020";"Min Variance";"H.R.BLOCK";2e-04
"2020";"Min Variance";"TARGET";2e-04
"2020";"Target Vol 15%";"LAMB.WESTON.HOLDINGS";0,2422
"2020";"Target Vol 15%";"MARKETAXESS.HOLDINGS";0,1753
"2020";"Target Vol 15%";"COPART";0,1293
"2020";"Target Vol 15%";"NEXTERA.ENERGY";0,0837
"2020";"Target Vol 15%";"NVIDIA";0,0771
"2020";"Target Vol 15%";"MSCI";0,0601
"2020";"Target Vol 15%";"ADVANCED.MICRO.DEVICES";0,0556
"2020";"Target Vol 15%";"NEWMONT";0,0544
"2020";"Target Vol 15%";"PAYCOM.SOFTWARE";0,0511
"2020";"Target Vol 15%";"AMAZON.COM";0,0366
"2020";"Target Vol 15%";"NETFLIX";0,021
"2020";"Target Vol 15%";"ABIOMED.DEAD";0,0094
"2020";"Target Vol 15%";"HUMANA";0,0043
"2020";"Target Vol 18%";"LAMB.WESTON.HOLDINGS";0,2515
"2020";"Target Vol 18%";"MARKETAXESS.HOLDINGS";0,2038
"2020";"Target Vol 18%";"NVIDIA";0,1172
"2020";"Target Vol 18%";"PAYCOM.SOFTWARE";0,0968
"2020";"Target Vol 18%";"ADVANCED.MICRO.DEVICES";0,0936
"2020";"Target Vol 18%";"COPART";0,0887
"2020";"Target Vol 18%";"MSCI";0,0502
"2020";"Target Vol 18%";"NEWMONT";0,0347
"2020";"Target Vol 18%";"NETFLIX";0,0316
"2020";"Target Vol 18%";"AMAZON.COM";0,0288
"2020";"Target Vol 18%";"ABIOMED.DEAD";0,0032
"2020";"Target Vol 21%";"LAMB.WESTON.HOLDINGS";0,2323
"2020";"Target Vol 21%";"MARKETAXESS.HOLDINGS";0,2184
"2020";"Target Vol 21%";"NVIDIA";0,1584
"2020";"Target Vol 21%";"PAYCOM.SOFTWARE";0,143
"2020";"Target Vol 21%";"ADVANCED.MICRO.DEVICES";0,1335
"2020";"Target Vol 21%";"NETFLIX";0,0428
"2020";"Target Vol 21%";"COPART";0,0324
"2020";"Target Vol 21%";"MSCI";0,0251
"2020";"Target Vol 21%";"AMAZON.COM";0,0132
"2020";"Target Vol 21%";"NEWMONT";0,001
"2020";"Target Vol 24%";"MARKETAXESS.HOLDINGS";0,2164
"2020";"Target Vol 24%";"NVIDIA";0,1973
"2020";"Target Vol 24%";"PAYCOM.SOFTWARE";0,1868
"2020";"Target Vol 24%";"LAMB.WESTON.HOLDINGS";0,1783
"2020";"Target Vol 24%";"ADVANCED.MICRO.DEVICES";0,1729
"2020";"Target Vol 24%";"NETFLIX";0,0482
"2025";"Min Variance";"GE.HEALTHCARE.TECHNOLOGIES";0,1106
"2025";"Min Variance";"VERIZON.COMMUNICATIONS";0,0877
"2025";"Min Variance";"KELLANOVA.DEAD";0,065
"2025";"Min Variance";"KEURIG.DR.PEPPER";0,0622
"2025";"Min Variance";"KROGER";0,0594
"2025";"Min Variance";"JOHNSON...JOHNSON";0,0563
"2025";"Min Variance";"OTIS.WORLDWIDE";0,0545
"2025";"Min Variance";"BRISTOL.MYERS.SQUIBB";0,0496
"2025";"Min Variance";"CBOE.GLOBAL.MARKETS.BTS.";0,0484
"2025";"Min Variance";"WALMART";0,0477
"2025";"Min Variance";"ELECTRONIC.ARTS";0,0432
"2025";"Min Variance";"SMURFIT.WESTROCK";0,0371
"2025";"Min Variance";"MERCK...COMPANY";0,035
"2025";"Min Variance";"DOMINO.S.PIZZA";0,0328
"2025";"Min Variance";"ABBVIE";0,0268
"2025";"Min Variance";"CLOROX";0,0239
"2025";"Min Variance";"J.M.SMUCKER";0,0232
"2025";"Min Variance";"HORMEL.FOODS";0,0204
"2025";"Min Variance";"CONSTELLATION.ENERGY";0,0198
"2025";"Min Variance";"AIRBNB.A";0,0165
"2025";"Min Variance";"TYSON.FOODS..A.";0,0151
"2025";"Min Variance";"GEN.DIGITAL";0,0145
"2025";"Min Variance";"THE.CAMPBELL.S.COMPANY";0,0142
"2025";"Min Variance";"NEWMONT";0,0101
"2025";"Min Variance";"GILEAD.SCIENCES";0,0064
"2025";"Min Variance";"CHIPOTLE.MEXN.GRILL";0,0056
"2025";"Min Variance";"INCYTE";0,0053
"2025";"Min Variance";"CH.ROBINSON.WWD.";0,0047
"2025";"Min Variance";"HILTON.WORLDWIDE.HDG.";0,004
"2025";"Target Vol 15%";"GE.HEALTHCARE.TECHNOLOGIES";0,1038
"2025";"Target Vol 15%";"CONSTELLATION.ENERGY";0,1005
"2025";"Target Vol 15%";"KROGER";0,0939
"2025";"Target Vol 15%";"ELI.LILLY";0,0795
"2025";"Target Vol 15%";"ABBVIE";0,0762
"2025";"Target Vol 15%";"WALMART";0,0722
"2025";"Target Vol 15%";"KELLANOVA.DEAD";0,0712
"2025";"Target Vol 15%";"MCKESSON";0,0708
"2025";"Target Vol 15%";"PROGRESSIVE.OHIO";0,0644
"2025";"Target Vol 15%";"CARRIER.GLOBAL";0,0596
"2025";"Target Vol 15%";"CBOE.GLOBAL.MARKETS.BTS.";0,0409
"2025";"Target Vol 15%";"SMURFIT.WESTROCK";0,0352
"2025";"Target Vol 15%";"GEN.DIGITAL";0,0254
"2025";"Target Vol 15%";"PALANTIR.TECHNOLOGIES.A";0,0229
"2025";"Target Vol 15%";"AXON.ENTERPRISE";0,0184
"2025";"Target Vol 15%";"DECKERS.OUTDOOR";0,0164
"2025";"Target Vol 15%";"TESLA";0,0094
"2025";"Target Vol 15%";"MODERNA";0,008
"2025";"Target Vol 15%";"EQT";0,0072
"2025";"Target Vol 15%";"CHIPOTLE.MEXN.GRILL";0,007
"2025";"Target Vol 15%";"T.MOBILE.US";0,0057
"2025";"Target Vol 15%";"PALO.ALTO.NETWORKS";0,0044
"2025";"Target Vol 15%";"GILEAD.SCIENCES";0,0042
"2025";"Target Vol 15%";"SUPER.MICRO.COMPUTER";0,0028
"2025";"Target Vol 18%";"CONSTELLATION.ENERGY";0,1482
"2025";"Target Vol 18%";"ELI.LILLY";0,1296
"2025";"Target Vol 18%";"MCKESSON";0,1096
"2025";"Target Vol 18%";"KROGER";0,0939
"2025";"Target Vol 18%";"PROGRESSIVE.OHIO";0,0879
"2025";"Target Vol 18%";"CARRIER.GLOBAL";0,0813
"2025";"Target Vol 18%";"GE.HEALTHCARE.TECHNOLOGIES";0,0569
"2025";"Target Vol 18%";"ABBVIE";0,0495
"2025";"Target Vol 18%";"WALMART";0,0366
"2025";"Target Vol 18%";"PALANTIR.TECHNOLOGIES.A";0,0338
"2025";"Target Vol 18%";"TESLA";0,0325
"2025";"Target Vol 18%";"SMURFIT.WESTROCK";0,0261
"2025";"Target Vol 18%";"AXON.ENTERPRISE";0,0229
"2025";"Target Vol 18%";"DECKERS.OUTDOOR";0,0199
"2025";"Target Vol 18%";"NVIDIA";0,0175
"2025";"Target Vol 18%";"EQT";0,017
"2025";"Target Vol 18%";"SUPER.MICRO.COMPUTER";0,0134
"2025";"Target Vol 18%";"KELLANOVA.DEAD";0,0117
"2025";"Target Vol 18%";"MODERNA";0,0097
"2025";"Target Vol 18%";"TARGA.RESOURCES";0,0022
"2025";"Target Vol 21%";"CONSTELLATION.ENERGY";0,1916
"2025";"Target Vol 21%";"ELI.LILLY";0,1693
"2025";"Target Vol 21%";"MCKESSON";0,1272
"2025";"Target Vol 21%";"CARRIER.GLOBAL";0,0963
"2025";"Target Vol 21%";"PROGRESSIVE.OHIO";0,0886
"2025";"Target Vol 21%";"KROGER";0,0759
"2025";"Target Vol 21%";"TESLA";0,0489
"2025";"Target Vol 21%";"PALANTIR.TECHNOLOGIES.A";0,0444
"2025";"Target Vol 21%";"NVIDIA";0,0421
"2025";"Target Vol 21%";"EQT";0,0235
"2025";"Target Vol 21%";"AXON.ENTERPRISE";0,0224
"2025";"Target Vol 21%";"SUPER.MICRO.COMPUTER";0,0217
"2025";"Target Vol 21%";"DECKERS.OUTDOOR";0,0162
"2025";"Target Vol 21%";"SMURFIT.WESTROCK";0,0143
"2025";"Target Vol 21%";"MODERNA";0,0096
"2025";"Target Vol 21%";"TARGA.RESOURCES";0,0071
"2025";"Target Vol 21%";"ABBVIE";8e-04
"2025";"Target Vol 24%";"CONSTELLATION.ENERGY";0,2433
"2025";"Target Vol 24%";"ELI.LILLY";0,1882
"2025";"Target Vol 24%";"MCKESSON";0,1182
"2025";"Target Vol 24%";"CARRIER.GLOBAL";0,0983
"2025";"Target Vol 24%";"NVIDIA";0,0738
"2025";"Target Vol 24%";"TESLA";0,065
"2025";"Target Vol 24%";"PALANTIR.TECHNOLOGIES.A";0,0522
"2025";"Target Vol 24%";"PROGRESSIVE.OHIO";0,0518
"2025";"Target Vol 24%";"SUPER.MICRO.COMPUTER";0,0326
"2025";"Target Vol 24%";"EQT";0,0279
"2025";"Target Vol 24%";"AXON.ENTERPRISE";0,0255
"2025";"Target Vol 24%";"TARGA.RESOURCES";0,0109
"2025";"Target Vol 24%";"KROGER";0,0047
"2025";"Target Vol 24%";"DECKERS.OUTDOOR";0,0045
"2025";"Target Vol 24%";"MODERNA";0,0031
